subpaedagogus|subpaedăgōgus=sūbpāedăgōgus|1|||i, m.
subpaetulus|subpaetŭlus=sūbpāetŭlus|11|||a, um
subpallidus|subpallĭdus=sūbpāllĭdus|11|||a, um
subpalpor|subpalpor=sūbpālpŏr|24|||āri, intr.
subpar|subpăr=sūbpăr|15|sūbpăr||păris
subparasitor|subpărăsītor=sūbpărăsītŏr|24|||āri, intr.
subparatura|subpărātūra=sūbpărātūra|0|||ae, f.
subparile|subpărĭlĕ=sūbpărĭlĕ|8|sūbpărĭl||is, n.
subparo|subpăro=sūbpăro|17|||āre
subpateo|subpătĕo=sūbpătĕo|18|||ēre, intr.
subpedaneum|subpĕdānĕum=sūbpĕdānĕum|4|||i, n.
subpedito|subpĕdĭto=sūbpĕdĭto|17|||āvi, ātum, 1
subpedo|subpēdo=sūbpēdo|19|||ĕre, intr.
subpernatus|subpernātus=sūbpērnātus|11|||a, um
subperturbo|subperturbo=sūbpērtūrbo|17|||āre
subpetiae|subpĕtĭae=sūbpĕtĭāe|0|||arum, f.
subpetior|subpĕtĭor=sūbpĕtĭŏr|24|||ātus, 1, intr.
subpeto|subpĕto=sūbpĕto|19|sūbpĕtĭ,sūbpĕtīv|sūbpĕtīt|īvi or ĭi, ītum, 3, intr.
subpilo|subpīlo=sūbpīlo|17|||no perf., ātum, 1
subpingo|subpingo=sūbpīngo|19||sūbpāct|no perf., pactum, 3
subpinguis|subpinguis=sūbpīngụis|14|sūbpīngụ||e
subplantatio|subplantātĭo=sūbplāntātĭo|5|sūbplāntātĭōn||ōnis, f.
subplantator|subplantātor=sūbplāntātŏr|5|sūbplāntātōr||ōris, m.
subplanto|subplanto=sūbplānto|17|||āvi, ātum, 1
subplaudo|subplaudo=sūbplāudo|19|sūbplāus||si, 3
subplausio|subplausĭo=sūbplāusĭo|5|sūbplāusĭōn||ōnis, f.
subplementum|subplēmentum=sūbplēmēntum|4|||i, n.
subpleo|subplĕo=sūbplĕo|18|sūbplēv|sūbplēt|ēvi, ētum, 2
subpletus|subplētus=sūbplētus|11|||a, um
subplex|subplex=sūbplēx|15|sūbplĭc||ĭcis
subplicamentum|subplĭcāmentum=sūbplĭcāmēntum|4|||i, n.
subplicatio|subplĭcātĭo=sūbplĭcātĭo|5|sūbplĭcātĭōn||ōnis, f.
subplicator|subplĭcātor=sūbplĭcātŏr|5|sūbplĭcātōr||ōris, m.
subplicium|subplĭcĭum=sūbplĭcĭum|4|||ii, n.
subplico|subplĭco=sūbplĭco|17|||āvi, ātum, 1
subplicue|subplĭcŭē=sūbplĭcŭē|30|||adv.
subplodo|subplōdo=sūbplōdo|19|sūbplōs|sūbplōs|si, 3
subplosio|subplōsĭo=sūbplōsĭo|5|sūbplōsĭōn||ōnis, f.
subpoenitet|subpoenĭtet=sūbpōenĭtĕo|18|||ēre, v. impers.
subpolitor|subpŏlītor=sūbpŏlītŏr|5|sūbpŏlītōr||ōris, m.
subpono|subpōno=sūbpōno|19|sūbpŏsŭ|sūbpŏsĭt|pŏsŭi, pŏsĭtum, 3
subporto|subporto=sūbpōrto|17|||āvi, ātum, 1
subpositicius|subpŏsĭtīcĭus=sūbpŏsĭtīcĭus|11|||a, um
subpositio|subpŏsĭtĭo=sūbpŏsĭtĭo|5|sūbpŏsĭtĭōn||ōnis, f.
subpositorius|subpŏsĭtōrĭus=sūbpŏsĭtōrĭus|11|||a, um
subpositus|subpŏsĭtus=sūbpŏsĭtus|11|||a, um
subpostrix|subpostrix=sūbpōstrīx|5|sūbpōstrīc||īcis, f.
subpraefectura|subpraefectūra=sūbprāefēctūra|0|||ae, f.
subpraefectus|subpraefectus=sūbprāefēctus|1|||i, m.
subpraetor|subpraetŏr=sūbprāetŏr|5|sūbprāetōr||ōris, m.
subpresse|subpressē=sūbprēssē|30|||adv.
subpressio|subpressĭo=sūbprēssĭo|5|sūbprēssĭōn||ōnis, f.
subpressor|subpressor=sūbprēssŏr|5|sūbprēssōr||ōris, m.
subpressus|subpressus=sūbprēssus|11|||a, um
subprimo|subprĭmo=sūbprĭmo|19|sūbprēss|sūbprēss|pressi, pressum, 3
subprinceps|subprinceps=sūbprīncēps|5|sūbprīncĭp||ĭpis, m.
subprincipalis|subprincĭpālis=sūbprīncĭpālis|14|sūbprīncĭpāl||e
subprocurator|subprōcūrātŏr=sūbprōcūrātŏr|5|sūbprōcūrātōr||ōris, m.
subpromus|subprōmus=sūbprōmus|1|||i, m.
subpudet|subpŭdet=sūbpŭdĕo|18|||ēre, v. impers.
subpuratio|subpūrātĭo=sūbpūrātĭo|5|sūbpūrātĭōn||ōnis, f.
subpuro|subpūro=sūbpūro|17|||āvi, ātum, 1
subputatio|subpŭtātĭo=sūbpŭtātĭo|5|sūbpŭtātĭōn||ōnis, f.
subputator|subpŭtātor=sūbpŭtātŏr|5|sūbpŭtātōr||ōris, m.
subputatorius|subpŭtātōrĭus=sūbpŭtātōrĭus|11|||a, um
subputo|subpŭto=sūbpŭto|17|||āvi, ātum, 1
