Abydus|Abydos
acinus|acinos
acoluthus|acoluthos
Aenus|Aenos
Aesacus|Aesacos
Aglaurus|Aglauros
Agrius|Agrios
alimus|alimos
alopecurus|alopecuros
Alpheus|Alpheos
amethystus|amethystos
Amorgus|Amorgos
Ampelus|Ampelos2
Amphissus|Amphissos
amphithalamus|amphithalamos
Amphrysus|Amphrysos
Anchialus|Anchialos
Andrus|Andros
Anigrus|Anigros
Antandrus|Antandros
Antaradus|Antarados
Antinous|Antinous
Aornus|Aornos
apostrophus|apostrophos
Apsorus|Apsoros
Aradus|Arados
archiatrus|archiatros
Areopagus|Areopagos
Arius|Arius
Asopus|Asopos
Assus|Assos
atheus|atheos
aurarius|aurarius2
Azotus|Azotos
Bactrus|Bactros
batus|batos
batus|batus
Berytus|Berytos
Besbicus|Besbicos
biblus|biblos
botanismus|botanismos
bromus|bromos
Bucephalus|Bucephalos
Byblus|Byblos
Callidromus|Callidromos
Camirus|Camiros
Camirus|Camirus
Carcinus|Carcinos
Carpathus|Carpathos
Carystus|Carystos
Casus|Casos
Caurus|Cauros
Caystrus|Caystros
Cephissus|Cephissos
cercopithecus|cercopithecos
cestus|cestos
characterismus|characterismos
charadrius|charadrios
Charadrus|Charadros
chersydrus|chersydros
Chius|Chios
chryselectrus|chryselectros
chrysolithus|chrysolithos
chrysoprasus|chrysoprasos
chylus|chylos
cinnamolgus|cinnamolgos
cistophorus|cistophoros
Cius|Cios
Cius|Cios2
Clarus|Claros
Cliduchus|Cliduchos
Cnosus|Cnosos
colus|colus2
Coptus|Coptos
Coressus|Coressos
corytus|corytos
Cotus|Cotus
Cragus|Cragos
Cranaus|Cranaos
Craterus|Crateros
Crocus|Crocos
Cronus|Cronos
cyamus|cyamos
cyanus|cyanos
Cydnus|Cydnos
Cyllarus|Cyllaros
Cynus|Cynos
Cythnus|Cythnos
Cytorus|Cytoros
Cyzicus|Cyzicos
Davus|Davos
Demoleus|Demoleos
dialectus|dialectos
Dindymus|Dindymos
Dionysus|Dionysos
Doryphorus|Doryphoros
Ebusus|Ebusos
Ebusus|Ebusus
Echinus|Echinos
Eleutherus|Eleutheros
emporus|emporos
enhydrus|enhydros
Epiclerus|Epicleros
Epidamnus|Epidamnos
epitropus|epitropos
Erginus|Erginos
erotylus|erotylos
Erymanthus|Erymanthos
erythrodanus|erythrodanos
Euenus|Euenos
Europus|Europus
Euryalus|Euryalus
Evenus|Evenos2
Fascinus|Fascinus
garus|garos
Geraestus|Geraestos
Gergithus|Gergithos
Gnidus|Gnidos
Gnossus|Gnossos
Gnosus|Gnosos
gorytus|gorytos
haliaeetus|haliaeetos
Halicarnassus|Halicarnassos
halimus|halimos
Halmydessus|Halmydessos
Halonesus|Halonesos
Helius|Helios
hendecasyllabus|hendecasyllabos
Heptaporus|Heptaporos
Hesperus|Hesperos
Hippius|Hippius
hippocampus|hippocampos
hippocomus|hippocomos
horoscopus|horoscopos
Horus|Horos
hydrus|hydros
Hymettus|Hymettos
hyophthalmus|hyophthalmos
Ialysus|Ialysos
Icarus|Icaros
Icelus|Icelos
idiotismus|idiotismos
ileus|ileos
Imbrus|Imbros
Inachus|Inachos
Iolcus|Iolcos
Irus|Iros
Ismenus|Ismenos
Issus|Issos
labyrinthus|labyrinthos
Laerus|Laeros
Lagus|Lagos
Lateranus|Lateranus
Lebedus|Lebedos
Lebynthus|Lebynthos
Lemnus|Lemnos
Libethrus|Libethros
libonotus|libonotos
Lindus|Lindos
Lingus|Lingos
lithargyrus|lithargyros
logus|logos
lotus|lotos2
Lyctus|Lyctos
Lycus|Lycos2
Lyncus|Lyncus
Lyrnessus|Lyrnessos
Madytus|Madytos
Maeandrus|Maeandros
Maenalus|Maenalos
Mallus|Mallos
malus|malus2
Marathus|Marathos
Marpessus|Marpessus
Meleagrus|Meleagros
Menandrus|Menandros
methodus|methodos
metoposcopus|metoposcopos
microcosmus|microcosmos
Miletus|Miletos
monaulus|monaulos
monocolus|monocolos
Mopsus|Mopsos
Mopsus|Mopsus
Myconus|Myconos
Myiagrus|Myiagros
Myndus|Myndos
Myonnesus|Myonnesos
Myscelus|Myscelos
Nasus|Nasos
Naupactus|Naupactos
Naxus|Naxos
Neritus|Neritos
Neritus|Neritos2
Ninus|Ninus
Nisyrus|Nisyros
Nomius|Nomios
Notus|Notos2
Ocnus|Ocnos
Odessus|Odessos
oecus|oecos
Olearus|Olearos
Olenus|Olenos
Olenus|Olenos2
Olenus|Olenus
Olurus|Oluros
Olympus|Olympos
Olympus|Olympus
Olynthus|Olynthos
Onchestus|Onchestos
oniscus|oniscos
Orbelus|Orbelos
orchilus|orchilos
Orchomenus|Orchomenos
Oreus|Oreos
Oreus|Oreos2
Oricus|Oricos
Oropus|Oropos
orthocissus|orthocissos
Othus|Othos
Oxus|Oxos
Pachynus|Pachynos
palimpsestus|palimpsestos
Paltus|Paltos
Paphus|Paphos2
Paphus|Paphus
Parnassus|Parnassos
Parnasus|Parnasos
Parus|Paros
Patmus|Patmos
pediculus|pediculus
Pegasus|Pegasos
Peloponnesus|Peloponnesos
pentadactylus|pentadactylos
Peparethus|Peparethos
Pergamus|Pergamos
periclymenus|periclymenos
petasunculus|petasunculus
Pharsalus|Pharsalos
Pharus|Pharos
phasiolus|phasiolos
Pheneus|Pheneos
Phlegraeus|Phlegraeos
Pierus|Pieros
Pisandrus|Pisandros
pissasphaltus|pissasphaltos
Pittacus|Pittacos
platyophthalmus|platyophthalmos
pleonasmus|pleonasmos
polygonus|polygonos
Polyphemus|Polyphemos
porus|porus
priapismus|priapismos
Priaponnesus|Priaponnesos
pronaus|pronaos
proscholus|proscholos
Prothous|Prothoos
Pylus|Pylos
pyxacanthus|pyxacanthos
pyxagathus|pyxagathos
Remus|Remus2
Rhadamanthus|Rhadamanthos
rhamnus|rhamnos
rhombus|rhombos
Rhosus|Rhosos
Saguntus|Saguntos
sambucus|sambucus
Samus|Samos
sandaresus|sandaresos
schoenanthus|schoenanthos
Sciathus|Sciathos
scincus|scincos
scorpius|scorpios
scymnus|scymnos
Scyrus|Scyros
Scyrus|Scyrus
Sebethus|Sebethos
sillybus|sillybus
Sindus|Sindos
Siphnus|Siphnos
sittybus|sittybos
sonchus|sonchos
Sperchius|Sperchios
spongus|spongos
Stadius|Stadios
staphylinus|staphylinos
Stratus|Stratos
Stymphalus|Stymphalos
sycaminus|sycaminos
syllibus|syllibus
synodus|synodos
Taenarus|Taenaros
Tartessus|Tartessos
Telegonus|Telegonos
Telmessus|Telmessos
Temenus|Temenos
tenesmus|tenesmos
Tenus|Tenos
Teus|Teos
Thapsus|Thapsos
Thasus|Thasos
Thasus|Thasus
Theodotus|Theodotos
Tityus|Tityos
Tmarus|Tmaros
tonus|tonos
topazus|topazos2
topus|topos
tragus|tragos
trigonus|trigonus2
triophthalmus|triophthalmos
Troilus|Troilos
tropus|tropos
Tyrus|Tyros
Urius|Urios
vallus|vallus
Xanthus|Xanthos2
Zacynthus|Zacynthos
